date,open,high,close,low,volume,amount
2018-04-18,3.81,3.81,3.78,3.76,149872065.0,567363655.0
2018-04-17,3.77,3.8,3.76,3.75,123344293.0,465653376.0
2018-04-16,3.85,3.86,3.77,3.76,272866018.0,1037002960.0
2018-04-13,3.95,3.95,3.87,3.86,172782461.0,674696953.0
2018-04-12,3.95,3.96,3.91,3.9,173853028.0,682424626.0
2018-04-11,3.93,4.01,3.97,3.9,364744087.0,1443532943.0
2018-04-10,3.85,3.94,3.93,3.83,206772753.0,804022154.0
2018-04-09,3.84,3.86,3.85,3.82,141443796.0,542898521.0
2018-04-04,3.87,3.89,3.85,3.85,135965337.0,526035783.0
2018-04-03,3.85,3.89,3.88,3.83,166574532.0,641096814.0
2018-04-02,3.93,3.94,3.88,3.87,240752595.0,939098888.0
2018-03-30,3.99,3.99,3.93,3.91,314510866.0,1238838004.0
2018-03-29,3.96,4.02,3.99,3.91,264695806.0,1047743809.0
2018-03-28,3.93,4.0,3.96,3.93,190874635.0,755564402.0
2018-03-27,4.03,4.04,3.97,3.93,296175449.0,1174878737.0
2018-03-26,4.08,4.09,3.99,3.96,221206459.0,887028628.0
2018-03-23,4.11,4.13,4.12,4.03,362184421.0,1476263636.0
2018-03-22,4.16,4.18,4.17,4.13,123067251.0,510790071.0
2018-03-21,4.17,4.19,4.17,4.16,120687369.0,503986892.0
2018-03-20,4.12,4.18,4.17,4.11,106648870.0,442658681.0
2018-03-19,4.13,4.14,4.13,4.12,68412888.0,282600101.0
2018-03-16,4.17,4.18,4.13,4.13,125189301.0,520059932.0
2018-03-15,4.15,4.19,4.17,4.15,113539378.0,472986419.0
2018-03-14,4.18,4.19,4.17,4.15,120185933.0,501175647.0
2018-03-13,4.18,4.24,4.19,4.18,183275305.0,771540703.0
2018-03-12,4.2,4.21,4.17,4.16,199125457.0,831712094.0
2018-03-09,4.2,4.22,4.18,4.16,133135965.0,556996025.0
2018-03-08,4.22,4.22,4.2,4.18,108062993.0,454086954.0
2018-03-07,4.21,4.27,4.22,4.2,214924823.0,909904669.0
2018-03-06,4.17,4.21,4.19,4.13,186832759.0,778647400.0
2018-03-05,4.16,4.19,4.16,4.12,146334117.0,607329372.0
2018-03-02,4.2,4.2,4.17,4.14,180303445.0,751898747.0
2018-03-01,4.2,4.26,4.22,4.19,160800175.0,679437230.0
2018-02-28,4.27,4.28,4.23,4.21,185142258.0,785233926.0
2018-02-27,4.4,4.4,4.32,4.3,249535786.0,1080786655.0
2018-02-26,4.42,4.48,4.4,4.36,227218721.0,1000452762.0
2018-02-23,4.39,4.4,4.39,4.34,146326728.0,639912823.0
2018-02-22,4.34,4.4,4.37,4.34,179012655.0,781265804.0
2018-02-14,4.27,4.3,4.28,4.22,135004806.0,574960649.0
2018-02-13,4.24,4.35,4.28,4.23,260623025.0,1117441940.0
2018-02-12,4.25,4.3,4.21,4.19,251989533.0,1065633910.0
2018-02-09,4.3,4.34,4.29,4.12,563912950.0,2379711066.0
2018-02-08,4.52,4.54,4.42,4.33,496423603.0,2195807857.0
2018-02-07,4.82,4.87,4.59,4.52,658177130.0,3092010789.0
2018-02-06,4.69,4.85,4.76,4.65,703750078.0,3336530148.0
2018-02-05,4.51,4.78,4.76,4.51,468941565.0,2195948357.0
2018-02-02,4.58,4.6,4.58,4.51,264277294.0,1206116909.0
2018-02-01,4.53,4.65,4.63,4.52,410340914.0,1887008879.0
2018-01-31,4.46,4.55,4.54,4.45,278851281.0,1257351281.0
2018-01-30,4.57,4.61,4.48,4.47,277361633.0,1254640321.0
2018-01-29,4.67,4.75,4.6,4.57,379823884.0,1771850040.0
2018-01-26,4.61,4.73,4.65,4.56,430495878.0,2003687035.0
2018-01-25,4.66,4.69,4.63,4.52,359508524.0,1654331811.0
2018-01-24,4.71,4.79,4.69,4.62,544722865.0,2557672456.0
2018-01-23,4.4,4.71,4.68,4.38,705910595.0,3197053264.0
2018-01-22,4.37,4.52,4.4,4.35,507314896.0,2252906110.0
2018-01-19,4.43,4.51,4.4,4.36,645322526.0,2858478521.0
2018-01-18,4.27,4.36,4.36,4.24,636379662.0,2727463447.0
2018-01-17,4.23,4.34,4.24,4.23,376880806.0,1612595573.0
2018-01-16,4.17,4.23,4.22,4.16,260245139.0,1090671977.0
2018-01-15,4.1,4.2,4.18,4.09,397763976.0,1654099803.0
2018-01-12,4.09,4.12,4.09,4.07,190736294.0,780531785.0
2018-01-11,4.03,4.1,4.09,4.03,244796533.0,996213930.0
2018-01-10,3.97,4.04,4.03,3.96,346812530.0,1391848209.0
2018-01-09,4.01,4.01,3.96,3.95,201349420.0,801700787.0
2018-01-08,3.98,4.02,4.01,3.98,226438632.0,905194019.0
2018-01-05,4.0,4.01,3.98,3.96,222938096.0,888558694.0
2018-01-04,4.0,4.03,4.0,3.97,223487209.0,894052849.0
2018-01-03,3.97,4.02,4.0,3.96,178528367.0,713286290.0
2018-01-02,3.98,4.05,3.98,3.93,414507864.0,1652037087.0
2017-12-29,3.94,3.99,3.97,3.93,194608181.0,772256600.0
2017-12-28,3.9,3.95,3.93,3.9,143919532.0,564753195.0
2017-12-27,3.95,3.98,3.92,3.89,156134038.0,614249354.0
2017-12-26,3.92,3.97,3.95,3.91,143002940.0,563804554.0
2017-12-25,3.9,3.94,3.92,3.9,147146904.0,577416674.0
2017-12-22,3.91,3.91,3.9,3.89,66592167.0,259854669.0
2017-12-21,3.9,3.92,3.9,3.89,108653449.0,423868764.0
2017-12-20,3.9,3.92,3.9,3.88,136958369.0,533882563.0
2017-12-19,3.87,3.9,3.89,3.86,115783803.0,449421333.0
2017-12-18,3.88,3.89,3.86,3.85,78621374.0,304298077.0
2017-12-15,3.9,3.9,3.86,3.86,99984741.0,387113427.0
2017-12-14,3.91,3.93,3.89,3.88,93644144.0,365450553.0
2017-12-13,3.88,3.91,3.9,3.87,112343130.0,436717951.0
2017-12-12,3.93,3.93,3.88,3.88,73759342.0,287948490.0
2017-12-11,3.92,3.93,3.93,3.9,106676787.0,417403226.0
2017-12-08,3.94,3.94,3.92,3.91,96399902.0,378011749.0
2017-12-07,3.96,3.96,3.94,3.91,128137493.0,503892047.0
2017-12-06,3.98,4.0,3.96,3.94,157911563.0,627063556.0
2017-12-05,3.92,4.02,3.98,3.9,353241207.0,1400856517.0
2017-12-04,3.92,3.93,3.92,3.89,115384379.0,451271381.0
2017-12-01,3.93,3.95,3.92,3.89,162834081.0,637302190.0
2017-11-30,3.93,3.95,3.93,3.9,131279059.0,515510997.0
2017-11-29,3.92,3.95,3.93,3.88,162378687.0,635142989.0
2017-11-28,3.93,3.94,3.92,3.89,158778834.0,621184791.0
2017-11-27,3.99,3.99,3.95,3.9,303061902.0,1194590362.0
2017-11-24,3.99,4.03,4.0,3.96,182082353.0,726345947.0
2017-11-23,4.02,4.07,4.0,3.97,328517393.0,1322386582.0
2017-11-22,3.94,4.04,4.03,3.93,404924420.0,1619053793.0
2017-11-21,3.94,3.98,3.92,3.91,323580994.0,1278062021.0
2017-11-20,3.91,3.96,3.94,3.89,231886806.0,910722203.0
2017-11-17,3.85,3.94,3.92,3.84,330936168.0,1288300217.0
2017-11-16,3.87,3.87,3.84,3.83,108908226.0,419467272.0
2017-11-15,3.87,3.88,3.87,3.85,111491385.0,431465817.0
2017-11-14,3.87,3.88,3.88,3.85,139877827.0,541091268.0
2017-11-13,3.86,3.91,3.89,3.84,322815371.0,1249739870.0
2017-11-10,3.92,3.92,3.87,3.84,201625138.0,779390238.0
2017-11-09,3.94,3.95,3.92,3.91,89770075.0,352379365.0
2017-11-08,3.92,3.95,3.95,3.9,184329323.0,724440871.0
2017-11-07,3.87,3.93,3.91,3.86,174326481.0,679990720.0
2017-11-06,3.86,3.88,3.87,3.84,158281673.0,610201487.0
2017-11-03,3.88,3.89,3.88,3.84,234837453.0,907732575.0
2017-11-02,3.9,3.91,3.89,3.85,225153443.0,873644524.0
2017-11-01,3.94,3.95,3.91,3.89,285153068.0,1114170490.0
2017-10-31,4.02,4.02,3.94,3.93,260204602.0,1033764068.0
2017-10-30,4.03,4.07,4.05,4.01,188781620.0,762817173.0
2017-10-27,3.99,4.06,4.03,3.98,220048192.0,885326116.0
2017-10-26,4.07,4.08,4.0,3.97,328393010.0,1315258389.0
2017-10-25,4.12,4.13,4.07,4.05,142433205.0,582807013.0
2017-10-24,4.11,4.14,4.12,4.11,98371237.0,405586136.0
2017-10-23,4.16,4.17,4.11,4.11,116656940.0,482548423.0
2017-10-20,4.17,4.18,4.17,4.15,78301270.0,326404324.0
2017-10-19,4.15,4.2,4.19,4.14,191371172.0,798971782.0
2017-10-18,4.14,4.19,4.17,4.11,216926491.0,899993163.0
2017-10-17,4.15,4.16,4.14,4.13,78840301.0,326576903.0
2017-10-16,4.14,4.16,4.15,4.11,123038519.0,509555113.0
2017-10-13,4.15,4.15,4.14,4.12,85285495.0,352679428.0
2017-10-12,4.18,4.18,4.16,4.14,100297807.0,417282349.0
2017-10-11,4.14,4.19,4.17,4.12,155579665.0,646721307.0
2017-10-10,4.13,4.14,4.14,4.1,120385962.0,496661335.0
2017-10-09,4.24,4.28,4.12,4.08,364279965.0,1517043854.0
2017-09-29,4.13,4.16,4.12,4.11,96406554.0,397737170.0
2017-09-28,4.15,4.16,4.14,4.1,135110415.0,557600507.0
2017-09-27,4.2,4.22,4.15,4.13,119943858.0,499460665.0
2017-09-26,4.21,4.22,4.2,4.2,101621585.0,427707896.0
2017-09-25,4.19,4.24,4.23,4.16,177731675.0,746550297.0
2017-09-22,4.14,4.2,4.19,4.14,113794881.0,475392176.0
2017-09-21,4.12,4.17,4.16,4.09,114923930.0,475836057.0
2017-09-20,4.07,4.14,4.13,4.06,119020278.0,488808831.0
2017-09-19,4.08,4.08,4.08,4.03,105472115.0,428075937.0
2017-09-18,4.07,4.1,4.06,4.05,145465029.0,592596231.0
2017-09-15,4.1,4.11,4.06,4.02,193567036.0,786101762.0
2017-09-14,4.19,4.2,4.12,4.1,177602304.0,735750536.0
2017-09-13,4.2,4.21,4.18,4.17,81183034.0,340059080.0
2017-09-12,4.2,4.22,4.2,4.15,126219547.0,528025790.0
2017-09-11,4.21,4.26,4.2,4.19,99043180.0,417924021.0
2017-09-08,4.22,4.23,4.2,4.18,106720538.0,448259605.0
2017-09-07,4.26,4.27,4.22,4.22,95062136.0,403924562.0
2017-09-06,4.25,4.28,4.26,4.22,105533915.0,448366956.0
2017-09-05,4.21,4.29,4.27,4.2,172703771.0,735330078.0
2017-09-04,4.2,4.23,4.21,4.13,175373002.0,735077054.0
2017-09-01,4.22,4.26,4.2,4.16,206948893.0,872286173.0
2017-08-31,4.29,4.31,4.23,4.17,273107428.0,1154191133.0
2017-08-30,4.3,4.37,4.27,4.24,168920630.0,726666580.0
2017-08-29,4.23,4.34,4.32,4.2,197269493.0,846061640.0
2017-08-28,4.23,4.35,4.23,4.2,306036180.0,1301830889.0
2017-08-25,4.06,4.22,4.21,4.06,365476405.0,1518118243.0
2017-08-24,4.06,4.13,4.06,4.05,173796736.0,709817012.0
2017-08-23,4.0,4.08,4.06,3.99,215501216.0,872645205.0
2017-08-22,3.99,4.01,4.0,3.96,111838235.0,446208341.0
2017-08-21,4.0,4.02,3.99,3.96,112253547.0,446651476.0
2017-08-18,4.0,4.03,4.0,3.98,80903151.0,323582145.0
2017-08-17,4.03,4.03,4.02,3.98,120699399.0,483143406.0
2017-08-16,4.05,4.07,4.03,4.0,178716391.0,721752714.0
2017-08-15,3.92,4.08,4.04,3.92,377392869.0,1519772998.0
2017-08-14,3.92,3.94,3.91,3.88,182041717.0,711677160.0
2017-08-11,3.94,3.96,3.95,3.85,308436047.0,1204543449.0
2017-08-10,3.98,4.01,3.98,3.92,176710191.0,700633552.0
2017-08-09,4.05,4.07,3.98,3.98,217001355.0,870478748.0
2017-08-08,4.02,4.08,4.07,3.98,206219471.0,830761036.0
2017-08-07,4.02,4.06,4.01,3.97,193215502.0,773657212.0
2017-08-04,4.05,4.12,4.03,4.02,230807287.0,941242406.0
2017-08-03,4.05,4.15,4.06,4.01,328007760.0,1335880387.0
2017-08-02,3.96,4.08,4.05,3.95,404800140.0,1629934099.0
2017-08-01,3.92,3.97,3.96,3.92,309070210.0,1218908291.0
2017-07-31,3.88,3.96,3.92,3.88,341770125.0,1342559267.0
2017-07-28,3.85,3.89,3.88,3.82,180694514.0,696544037.0
2017-07-27,3.91,3.91,3.87,3.85,208029626.0,804503847.0
2017-07-26,3.85,3.95,3.9,3.85,301846664.0,1179594032.0
2017-07-25,3.82,3.89,3.85,3.81,331421441.0,1277539426.0
2017-07-24,3.77,3.84,3.8,3.76,292880976.0,1116820902.0
2017-07-21,3.78,3.8,3.78,3.76,156214601.0,590677271.0
2017-07-20,3.77,3.79,3.79,3.74,194742503.0,734255265.0
2017-07-19,3.75,3.8,3.76,3.74,284181826.0,1073651750.0
2017-07-18,3.76,3.81,3.76,3.73,275338090.0,1037453596.0
2017-07-17,3.68,3.82,3.79,3.67,596596267.0,2241313682.0
2017-07-14,3.68,3.69,3.68,3.64,280848466.0,1029361334.0
2017-07-13,3.6,3.65,3.64,3.59,359893691.0,1362143689.0
2017-07-12,3.57,3.61,3.59,3.56,326429879.0,1224830704.0
2017-07-11,3.53,3.58,3.56,3.52,281043636.0,1044084923.0
2017-07-10,3.52,3.54,3.53,3.51,119288873.0,439611921.0
2017-07-07,3.51,3.53,3.53,3.5,162584659.0,596907790.0
2017-07-06,3.52,3.53,3.51,3.5,162070841.0,595292497.0
2017-07-05,3.52,3.53,3.52,3.51,142756865.0,525016204.0
2017-07-04,3.52,3.54,3.52,3.5,195847563.0,720922954.0
2017-07-03,3.54,3.54,3.53,3.51,154076062.0,568024844.0
2017-06-30,3.51,3.54,3.54,3.5,151555499.0,558508453.0
2017-06-29,3.51,3.52,3.52,3.49,128547511.0,471580193.0
2017-06-28,3.5,3.52,3.51,3.49,157437796.0,577416802.0
2017-06-27,3.5,3.52,3.5,3.48,156561353.0,572464192.0
2017-06-26,3.51,3.54,3.5,3.49,284825111.0,1047969769.0
2017-06-23,3.48,3.51,3.51,3.47,188392287.0,687181569.0
2017-06-22,3.46,3.53,3.49,3.46,407381620.0,1491490389.0
2017-06-21,3.47,3.48,3.46,3.45,127165778.0,460986919.0
2017-06-20,3.45,3.47,3.46,3.45,80857877.0,292765927.0
2017-06-19,3.45,3.47,3.45,3.44,195473189.0,706430358.0
2017-06-16,3.45,3.46,3.46,3.44,80820560.0,291866539.0
2017-06-15,3.46,3.47,3.45,3.44,116671760.0,421205434.0
2017-06-14,3.48,3.48,3.47,3.45,157823585.0,571579532.0
2017-06-13,3.47,3.49,3.48,3.46,99952307.0,363302073.0
2017-06-12,3.49,3.51,3.48,3.47,174816397.0,637843732.0
2017-06-09,3.51,3.53,3.5,3.48,263945258.0,966918122.0
2017-06-08,3.5,3.51,3.51,3.48,112180534.0,410061842.0
2017-06-07,3.48,3.52,3.51,3.47,184834740.0,676255653.0
2017-06-06,3.47,3.49,3.48,3.46,110228288.0,400733983.0
2017-06-05,3.56,3.57,3.47,3.45,434943297.0,1588851805.0
2017-06-02,3.58,3.62,3.56,3.56,198412434.0,743549250.0
2017-06-01,3.56,3.59,3.58,3.55,175866621.0,655552885.0
2017-05-31,3.54,3.58,3.57,3.53,237648223.0,884454936.0
2017-05-26,3.52,3.55,3.54,3.51,184914287.0,682831495.0
2017-05-25,3.49,3.61,3.54,3.49,489749048.0,1815858814.0
2017-05-24,3.51,3.53,3.5,3.47,157409875.0,575072584.0
2017-05-23,3.47,3.53,3.52,3.47,256955372.0,941923519.0
2017-05-22,3.45,3.49,3.47,3.45,141949991.0,515419786.0
2017-05-19,3.45,3.46,3.45,3.44,54783928.0,198104398.0
2017-05-18,3.44,3.46,3.45,3.43,76757553.0,277075439.0
2017-05-17,3.46,3.46,3.46,3.44,102154219.0,368484343.0
2017-05-16,3.5,3.51,3.47,3.45,148719279.0,538853520.0
2017-05-15,3.51,3.53,3.5,3.48,130856292.0,479712512.0
2017-05-12,3.45,3.53,3.51,3.44,257271110.0,939843378.0
2017-05-11,3.42,3.48,3.46,3.41,222668690.0,804582903.0
2017-05-10,3.4,3.44,3.42,3.4,127337310.0,455494694.0
2017-05-09,3.4,3.42,3.41,3.39,78176337.0,278482772.0
2017-05-08,3.37,3.41,3.41,3.37,138086728.0,489265006.0
2017-05-05,3.37,3.4,3.39,3.34,175567864.0,616871445.0
2017-05-04,3.38,3.39,3.38,3.37,74607306.0,263116131.0
2017-05-03,3.4,3.4,3.38,3.37,84611551.0,299184578.0
2017-05-02,3.42,3.42,3.4,3.4,66093550.0,235471595.0
2017-04-28,3.42,3.43,3.43,3.41,99584828.0,356451360.0
2017-04-27,3.42,3.43,3.43,3.4,105424889.0,376308395.0
2017-04-26,3.41,3.43,3.42,3.41,104094171.0,372553142.0
2017-04-25,3.41,3.42,3.41,3.4,102720468.0,366599907.0
2017-04-24,3.39,3.42,3.41,3.38,146861922.0,521679809.0
2017-04-21,3.36,3.4,3.39,3.35,201033723.0,710345955.0
2017-04-20,3.38,3.39,3.36,3.35,102850710.0,361807502.0
2017-04-19,3.4,3.41,3.38,3.37,136008976.0,481740193.0
2017-04-18,3.44,3.44,3.41,3.41,102586046.0,367447202.0
